 48411113626 4112 7 1611662666410 5616 4661126 47  4 1616 566104  54511341666194222222222211222222222 31111112121222222221 321322221442226621212212 6232131410234334321222 8 7 51126666666611.0807569571.080756957144331.1876357351.0280598463111 97
 1251 611626 136666 1611662666511 5616 566 736 36  366666666666666611126632 4214322222222211222222222 91101121222666666666 422223222152246622122312 5242141410233433321122 4 4 61126666666610.4678179070.467817907122410.8472934291.1486702021111108
 26021111626 4112 7 1612 226662 7 361466 51066 51  5 1616 826 62  23211211666155122222222211222222222 62103333321221222221 412311211221116622212212 6332151516134524221212 5 2 51126666666610.7501167120.750116712244350.2480987760.3233452015112 90
 35011213626 536666 1612 72666410 5611 466 936 41  46666666666666662321331666155222222222211222222222 21 71222222666666666 231221221222216612222212 6452151411113442321112 6 9 62126666666610.4827536460.482753646155380.3569646490.3676848748111 97
 5622 911626 4112 7 16166666663 8 92666666 566 20  2 1616 566104  34432661666155222222111221122212222 61121211222666666666 41222322222214 822211213 7352151412232342421222 3 8 41112122222110.7757893010.775789301233340.8739878621.1626931214120 00
 79311211626 536666 6226666661511 266666 61166 32  366666666666666611113132 4121522222222212221222222 71 91121221222212222 412211211342226622122112 22121615 3234523321222 4 4 11226666666610.2948254460.294825446155420.2629682120.2132324572111 87
 33511211626 4112 7 62266666613 9 5666 366 846 47  4 6226 661 83  51112661666165222222222212221222222 91112212222666666666 312323212222216622122223 7411256412133334321212 5 2 7662666666661 0.68117655 0.68117655155350.2342434090.2429982615112 80
 17021411626 736666 62266666612 6 5666 666 546 54  56666666666666661111215666155522122122222221222212 71 81211121222222221 44231222211214 112221412 6432121110123232421212 3 2 61126666666611.4146203181.414620318267241.3373044280.8375375384120 01
 90621211626 4112 5 3226666266410 5666 566 746 36  3 6226 561 93  43212661666152222222222212211222212 91121212121122212222 31332112131221 512221112 72121614 9233424221222 3 5 41126666666610.6452832810.645283281255320.3302274780.2905644495211 44
 4912 911626 1232 2 1611662666511 5616 5661136 36  36666666666666661112662666223421212222221222222222101111222122666666666 52232222121221 222111111 3211251516233425221222 2 2 32211122222110.4176906710.417690671244410.3790524070.4723245971111108
 81121211626 4112 7 62266666612 6 166666 21066 51  5 6226 561 72  63211111666142222222222212221222222 22 61122222666666666 312322223221116622122222 5352156416133333221212 3 6 54126666666610.6234149410.623414941255210.2195931310.2265708195300 00
 27221011626 4112 7 1612 526662 6 5614 266 116 55  5 1616 466 62  65311211666165122222221221221222222 42101113322666666666 31232122111112 121221214 5332141414133424221122 688 41112122221112.3858488132.385848813244241.6091935361.8484186674120 00
  7511311626 4112 7 62266666612 6 5666 366 246 47  4 6226 261 51  53211211666135222222222212221222222 52 91112121222222221 41132222322221662112221110222151414235525221222 4 7 2122666666661 0.91126031 0.91126031166240.6128489710.5667361934111 54
 26321011626 4112 7 1611662666410 261666 4 666 51  5 1616 566 72  44421235666165122222222211222212222 51121122122666666666 422312221531146622122123 13312564 3132333321222 6 7 61126666666610.5052991340.505299134244360.4534182240.6442950216112 80
 68511111611 136666 16116616661 5 261666 4 166 61  666666666666666611126632 4215322222222211222222222 71 81222222666666666 241223223111146612222313 8452151216112242421221 8 9 11226666666611.1452738881.145273888155110.8564996290.9800777151111108
  582 811626 4112 4 1612 52666410 5611 366 746 46  4 1616 566115  34542662666163222222222211222212222 81121112222666666666 533321212222226622122213 3332151316122333221222 6 6 7662666666661  0.4340319  0.4340319233340.4889711830.6504935084111 76
 1211111162677232 6 1611661666410 5616 466 116 48  4 1616 916104  43212661666244122222122221222222222 61101222222666666666 412312222322116621122123 22312665 6234424321222 5 7 76626666666611.7452966861.74529668615524 1.22390169 1.119006454111 44
